black 0.268 0.173 0.125 0.143 0.182 0.111 0.333
orange 0.122 0.077 0.125 0.071 0.273 0.333 0.111
mixed 0.171 0.077 0.125 0.214 0.182 0.222 0.111
yellow 0.122 0.269 0.250 0.214 0.091 0.111 0.111
gray 0.268 0.365 0.250 0.214 0.091 0.111 0.111
Other 0.049 0.038 0.125 0.143 0.182 0.111 0.222
Medium 0.600 0.431 0.143 0.308 0.100 0.125 0.125
Small 0.250 0.255 0.286 0.077 0.100 0.250 0.125
Tiny 0.075 0.039 0.286 0.308 0.500 0.250 0.375
Large 0.025 0.196 0.143 0.154 0.100 0.125 0.125
Giant 0.050 0.078 0.143 0.154 0.200 0.250 0.250
Warm-blooded 0.921 0.898 0.600 0.182 0.250 0.667 0.333
Cold-blooded 0.053 0.041 0.200 0.727 0.250 0.167 0.333
Other 0.026 0.061 0.200 0.091 0.500 0.167 0.333
year 0.154 0.040 0.167 0.500 0.556 0.286 0.429
month 0.154 0.340 0.167 0.167 0.222 0.286 0.286
month1 0.359 0.580 0.333 0.083 0.111 0.143 0.143
year1 0.333 0.040 0.333 0.250 0.111 0.286 0.143
P(Cat) 0.232391563867887
P(Dog) 0.3056108237166733
P(Small) 0.024671707122960608
P(Reptile) 0.023875845602865105
P(Fish) 0.30362116991643456
P(Bird) 0.09112614405093514
P(Other) 0.01870274572224433
